slug,slug_date,git_first_seen,git_first_file,still_in_works
2026-07-01-calibration-gap,2026-07-01,2026-07-11,works/2026-07-01-calibration-gap/data.json,True
2026-07-01-digit-mirror,2026-07-01,2026-07-11,works/2026-07-01-digit-mirror/meta.json,True
2026-07-01-fairness-trap,2026-07-01,2026-07-11,works/2026-07-01-fairness-trap/meta.json,True
2026-07-01-naive-detector,2026-07-01,2026-07-11,works/2026-07-01-naive-detector/meta.json,True
2026-07-01-plausibility-engine,2026-07-01,2026-07-11,works/2026-07-01-plausibility-engine/meta.json,True
2026-07-01-provenance-horizon,2026-07-01,2026-07-11,works/2026-07-01-provenance-horizon/meta.json,True
2026-07-01-score-horizon,2026-07-01,2026-07-11,works/2026-07-01-score-horizon/meta.json,True
2026-07-01-the-edition,2026-07-01,2026-07-11,works/2026-07-01-the-edition/meta.json,True
2026-07-02-standing-docket,2026-07-02,2026-07-11,works/2026-07-02-standing-docket/README.md,True
2026-07-02-taxonomy-on-trial,2026-07-02,2026-07-11,works/2026-07-02-taxonomy-on-trial/README.md,True
2026-07-05-backward-regime-test,2026-07-05,2026-07-11,works/2026-07-05-backward-regime-test/README.md,True
2026-07-06-two-meters,2026-07-06,2026-07-11,works/2026-07-06-two-meters/README.md,True
2026-07-09-the-floor,2026-07-09,2026-07-11,works/2026-07-09-the-floor/README.md,True
2026-07-11-split-seal,2026-07-11,2026-07-11,works/2026-07-11-split-seal/data.json,True
2026-07-17-comparable-with-humans,2026-07-17,2026-07-17,works/2026-07-17-comparable-with-humans/README.md,True
2026-07-20-coverage-not-custody,2026-07-20,2026-07-22,works/2026-07-20-coverage-not-custody/RECOVERY.md,True
2026-07-24-where-the-chain-breaks,2026-07-24,2026-07-24,works/2026-07-24-where-the-chain-breaks/meta.json,True
2026-07-25-no-signal-to-extend,2026-07-25,2026-07-25,works/2026-07-25-no-signal-to-extend/README.md,True
2026-07-26-one-line-for-ten-thousand,2026-07-26,2026-07-30,works/2026-07-26-one-line-for-ten-thousand/CORRECTIONS.md,True
2026-07-26-unable-to-ring-its-own-bell,2026-07-26,2026-07-26,works/2026-07-26-unable-to-ring-its-own-bell/README.md,True
2026-07-30-follow-the-line,2026-07-30,2026-07-30,works/2026-07-30-follow-the-line/SHA256SUMS.txt,False
2026-08-03-where-the-reader-declines,2026-08-03,2026-08-04,works/2026-08-03-where-the-reader-declines/CORRECTIONS.md,True
2026-08-05-the-second-reader,2026-08-05,2026-08-05,works/2026-08-05-the-second-reader/DEVIATIONS.md,True
