arxiv_id,cohort,published,primary_category,n_urls,phrases
2402.04247,A,2024-02-06,cs.CY,0,AI scientist
2402.07744,A,2024-02-12,cs.AI,0,agentic research
2402.12391,A,2024-02-15,q-bio.GN,0,automated scientific discovery|automating scientific discovery
2402.15538,A,2024-02-23,cs.MA,1,agentic research
2403.01332,A,2024-03-02,q-bio.QM,0,AI scientist
2403.07965,A,2024-03-12,cs.LG,0,automated scientific discovery|automating scientific discovery
2404.02831,A,2024-04-03,cs.AI,0,AI scientist
2404.05902,A,2024-04-08,cs.CL,0,agentic research
2405.02198,A,2024-05-03,cs.RO,1,agentic research
2405.12300,A,2024-05-20,cond-mat.mtrl-sci,0,automated scientific discovery|automating scientific discovery|autonomous scientific discovery
2405.13352,A,2024-05-22,cs.AI,0,AI scientist|autonomous scientific discovery
2405.16510,A,2024-05-26,cs.AI,0,agentic research
2406.06459,A,2024-06-10,cs.LG,0,automated scientific discovery|automating scientific discovery
2406.06769,A,2024-06-10,cs.AI,0,automated scientific discovery|automating scientific discovery
2406.10291,A,2024-06-13,cs.AI,1,autonomous research
2406.18532,A,2024-06-26,cs.CL,0,agentic research
2407.00466,A,2024-06-29,cs.CL,1,AI scientist
2407.13637,A,2024-07-18,q-bio.QM,0,autonomous research
2408.06292,A,2024-08-12,cs.AI,1,AI scientist
2408.14033,A,2024-08-26,cs.AI,0,AI scientist
2409.04109,A,2024-09-06,cs.CL,0,research agent
2409.11363,A,2024-09-17,cs.CL,0,research agent
2409.12295,A,2024-09-18,cs.LG,0,autonomous research
2409.14807,A,2024-09-23,astro-ph.IM,0,agentic research
2410.00240,A,2024-09-30,cs.AI,0,research agent
2410.05080,A,2024-10-07,cs.CL,0,automated scientific discovery|automating scientific discovery
2410.06384,A,2024-10-08,cs.AI,0,research agent
2410.09403,A,2024-10-12,cs.AI,1,autonomous scientific discovery
2410.11894,A,2024-10-14,eess.SY,0,automated scientific discovery|automating scientific discovery
2410.20221,A,2024-10-26,cs.CL,0,AI scientist
2410.22932,A,2024-10-30,cs.CL,0,agentic research
2411.03743,A,2024-11-06,cs.AI,0,automate the research process
2411.06590,A,2024-11-10,cs.LG,0,automated scientific discovery|automating scientific discovery
2411.17260,A,2024-11-26,eess.IV,0,AI scientist
2412.05467,A,2024-12-06,cs.LG,0,agentic research
2412.20138,A,2024-12-28,q-fin.TR,1,research agent
2501.01451,A,2024-12-30,cs.HC,0,AI scientist
2501.04180,A,2025-01-07,cs.MA,0,agentic research
2501.04227,A,2025-01-08,cs.HC,0,autonomous research
2501.08120,A,2025-01-14,cs.AI,0,automated scientific discovery|automating scientific discovery
2501.11887,A,2025-01-21,cs.RO,0,agentic research
2502.01207,A,2025-02-03,cs.RO,0,autonomous research
2502.11357,A,2025-02-17,cs.AI,0,agentic research
2502.12561,A,2025-02-18,cs.HC,0,agentic research
2502.12700,A,2025-02-18,cs.CL,0,AI scientist
2502.14297,A,2025-02-20,cs.IR,0,AI scientist
2502.16487,A,2025-02-23,cs.CL,0,autonomous research|research agent
2502.17903,A,2025-02-25,cs.AI,0,agentic research
2503.03300,A,2025-03-05,cs.DL,0,agentic research
2503.03503,A,2025-03-05,q-bio.BM,0,research agent
2503.07014,A,2025-03-10,physics.chem-ph,0,autonomous scientific discovery
2503.16041,A,2025-03-20,cs.AI,0,research agent
2503.18213,A,2025-03-23,cs.AI,0,AI scientist
2503.22444,A,2025-03-28,cs.CL,0,AI scientist
2503.22708,A,2025-03-20,cs.AI,0,autonomous scientific discovery
2503.23616,A,2025-03-30,physics.comp-ph,0,automated scientific discovery|automating scientific discovery
2504.01848,A,2025-04-02,cs.AI,1,research agent
2504.01911,A,2025-04-02,cs.AI,0,AI scientist
2504.02822,A,2025-04-03,cs.AI,0,AI scientist
2504.03160,A,2025-04-04,cs.AI,1,research agent
2504.06525,A,2025-04-09,cs.LG,0,autonomous scientific discovery
2504.08066,A,2025-04-10,cs.AI,1,AI scientist|autonomous scientific discovery
2504.08696,A,2025-04-11,cs.SE,0,agentic research
2504.09407,A,2025-04-13,cs.CL,0,agentic research
2504.09702,A,2025-04-13,cs.AI,1,AI scientist
2504.12682,A,2025-04-17,cs.AI,0,agentic research
2504.19678,A,2025-04-28,cs.AI,0,automated scientific discovery|automating scientific discovery
2504.21776,A,2025-04-30,cs.CL,1,research agent
2505.08341,A,2025-05-13,cs.AI,2,AI scientist
2505.11855,A,2025-05-17,cs.CL,0,automated scientific discovery|automating scientific discovery
2505.15047,A,2025-05-21,cs.LG,0,automated scientific discovery|automating scientific discovery
2505.15998,A,2025-05-21,cs.AI,0,AI scientist
2505.17592,A,2025-05-23,astro-ph.IM,0,research agent
2505.17873,A,2025-05-23,cs.CL,0,automated scientific discovery|automating scientific discovery
2505.17968,A,2025-05-23,cs.LG,0,autonomous research
2505.18705,A,2025-05-24,cs.AI,0,autonomous research
2505.19955,A,2025-05-26,cs.LG,0,research agent
2505.20538,A,2025-05-26,cs.CL,0,AI scientist
2505.21034,A,2025-05-27,cs.LG,1,automated scientific discovery|automating scientific discovery
2505.21966,A,2025-05-28,cs.HC,0,research agent
2505.23559,A,2025-05-29,cs.AI,1,AI scientist
2505.24354,A,2025-05-30,cs.CL,0,agentic research
2506.00249,A,2025-05-30,cs.AI,0,automated scientific discovery|automating scientific discovery
2506.01372,A,2025-06-02,cs.AI,0,AI scientist
2506.04699,A,2025-06-05,cs.AI,0,research agent
2506.06287,A,2025-05-06,cs.AI,1,research agent
2506.07259,A,2025-06-08,stat.ML,0,autonomous scientific discovery
2506.10953,A,2025-06-12,cs.LG,0,agentic research
2506.11060,A,2025-05-27,cs.SE,0,research agent
2506.11763,A,2025-06-13,cs.CL,1,research agent
2506.11825,A,2025-06-13,cs.AI,0,research agent
2506.12331,A,2025-06-14,cs.MA,0,agentic research
2506.13834,A,2025-06-16,cs.LG,0,autonomous scientific discovery
2506.14074,A,2025-06-17,cs.LG,0,agentic research
2506.15741,A,2025-06-17,cs.AI,0,agentic research
2506.18096,A,2025-06-22,cs.AI,1,agentic research|research agent
2506.18348,A,2025-06-23,cs.AI,0,AI scientist|autonomous research|autonomous scientific discovery
2506.19613,A,2025-06-24,cs.AI,0,AI scientist
2506.20702,A,2025-06-25,cs.AI,0,AI scientist
2506.22419,A,2025-06-27,cs.AI,0,autonomous research|research agent
2506.23692,A,2025-06-30,cs.AI,0,AI scientist
2507.00310,A,2025-06-30,cs.LG,0,autonomous scientific discovery
2507.02554,A,2025-07-03,cs.AI,0,research agent
2507.03093,A,2025-07-03,astro-ph.IM,0,automated scientific discovery|automating scientific discovery
2507.04410,A,2025-07-06,cs.CV,0,research agent
2507.05495,A,2025-07-07,cs.AI,1,research agent
2507.07155,A,2025-07-09,astro-ph.IM,0,autonomous scientific discovery
2507.08038,A,2025-07-09,cs.CL,2,AI scientist
2507.08055,A,2025-07-10,q-bio.OT,0,research agent
2507.16075,A,2025-07-21,cs.CL,0,research agent
2507.16248,A,2025-07-22,cs.CL,0,research agent
2507.16812,A,2025-07-22,cs.CL,0,AI scientist
2507.18074,A,2025-07-24,cs.AI,0,autonomous research
2507.19132,A,2025-07-25,cs.AI,1,agentic research
2507.23276,A,2025-07-31,cs.AI,0,AI scientist|automated scientific discovery|automating scientific discovery
2508.00414,A,2025-08-01,cs.AI,1,autonomous research
2508.01370,A,2025-08-02,cs.CL,0,agentic research
2508.01746,A,2025-08-03,cs.AI,0,automated scientific discovery|automating scientific discovery
2508.03281,A,2025-08-05,cs.HC,0,agentic research
2508.03963,A,2025-08-05,cs.AI,1,automated scientific discovery|automating scientific discovery
2508.04482,A,2025-08-06,cs.AI,0,agentic research
2508.05674,A,2025-08-05,cs.CR,2,agentic research
2508.05996,A,2025-08-08,cs.AI,0,agentic research
2508.06600,A,2025-08-08,cs.CL,0,research agent
2508.10152,A,2025-08-13,cs.AI,0,research agent
2508.11987,A,2025-08-16,cs.AI,0,research agent
2508.12752,A,2025-08-18,cs.IR,0,research agent
2508.13421,A,2025-08-19,cs.AI,0,AI scientist
2508.13530,A,2025-08-19,cs.AI,0,agentic research
2508.14111,A,2025-08-18,cs.LG,0,autonomous research|autonomous scientific discovery
2508.14880,A,2025-08-20,cs.CL,0,research agent
2508.15126,A,2025-08-20,cs.AI,2,AI scientist|autonomous scientific discovery
2508.15693,A,2025-08-21,cs.AI,1,agentic research
2508.15804,A,2025-08-14,cs.CL,1,research agent
2508.19113,A,2025-08-26,cs.AI,0,research agent
2508.20282,A,2025-08-27,cs.CR,0,research agent
2509.00244,A,2025-08-29,cs.AI,0,research agent
2509.01396,A,2025-09-01,cs.AI,0,research agent
2509.02322,A,2025-09-02,cs.CV,0,agentic research
2509.02751,A,2025-09-02,cs.AI,0,research agent
2509.03036,A,2025-09-03,cs.LG,0,automated scientific discovery|automating scientific discovery
2509.04499,A,2025-09-02,cs.CL,0,research agent
2509.06580,A,2025-09-08,cs.LG,0,AI scientist
2509.06733,A,2025-09-08,cs.AI,0,agentic research|research agent
2509.08713,A,2025-09-10,cs.AI,0,AI scientist
2509.12282,A,2025-09-14,cs.AI,0,AI scientist
2509.12507,A,2025-09-15,cs.RO,0,agentic research
2509.13310,A,2025-09-16,cs.CL,0,research agent
2509.15738,A,2025-09-19,cs.LG,0,agentic research
2509.17158,A,2025-09-21,cs.AI,0,agentic research
2509.22631,A,2025-09-26,cs.CV,0,research agent
2509.23426,A,2025-09-27,cs.AI,1,AI scientist
2509.25084,A,2025-09-29,cs.CL,0,automated scientific discovery|automating scientific discovery
2509.25106,A,2025-09-29,cs.CL,0,research agent
2509.25189,A,2025-09-29,cs.CL,0,research agent
2509.26603,A,2025-09-30,cs.CL,1,AI scientist|autonomous scientific discovery
2510.00061,A,2025-09-29,eess.IV,0,AI scientist
2510.00620,A,2025-10-01,cs.AI,0,automated scientific discovery|automating scientific discovery
2510.01293,A,2025-10-01,cs.AI,0,autonomous scientific discovery
2510.01553,A,2025-10-02,cs.IR,0,automated scientific discovery|automating scientific discovery
2510.02190,A,2025-10-02,cs.AI,0,research agent
2510.05016,A,2025-10-06,astro-ph.IM,0,autonomous research|research agent
2510.05145,A,2025-10-02,cs.DC,0,research agent
2510.06135,A,2025-10-07,cs.AI,0,research agent
2510.06186,A,2025-10-07,cs.CL,0,research agent
2510.08619,A,2025-10-08,cs.AI,0,research agent
2510.08847,A,2025-10-09,cs.AI,0,agentic research
2510.10472,A,2025-10-12,cs.CL,1,agentic research|research agent
2510.11143,A,2025-10-13,cs.AI,0,agentic research
2510.11661,A,2025-10-13,cs.AI,0,AI scientist
2510.12194,A,2025-10-14,cs.AI,3,research agent
2510.12367,A,2025-10-14,cs.CL,0,research agent
2510.12979,A,2025-10-14,cs.AI,0,research agent
2510.13913,A,2025-10-15,cs.CL,0,research agent
2510.14438,A,2025-10-16,cs.CL,0,research agent
2510.15280,A,2025-10-17,cs.LG,1,autonomous scientific discovery
2510.15862,A,2025-10-17,cs.AI,0,research agent
2510.16080,A,2025-10-17,q-bio.QM,1,research agent
2510.16720,A,2025-10-19,cs.AI,0,research agent
2510.18104,A,2025-10-20,cs.IR,0,AI scientist|automate the research process|autonomous research
2510.21652,A,2025-10-24,cs.AI,0,AI scientist
2510.21935,A,2025-10-24,cs.LG,0,automated scientific discovery|automating scientific discovery
2510.23045,A,2025-10-27,cs.AI,0,AI scientist
2510.24891,A,2025-10-28,cs.CL,0,autonomous research|research agent
2510.26144,A,2025-10-30,cs.AI,0,research agent
2511.01015,A,2025-11-02,cs.LG,0,agentic research
2511.02071,A,2025-11-03,cs.AI,0,research agent
2511.02824,A,2025-11-04,cs.AI,0,AI scientist
2511.04481,A,2025-11-06,cs.AI,0,agentic research
2511.04583,A,2025-11-06,cs.AI,0,AI scientist
2511.05524,A,2025-10-28,cs.AI,0,autonomous research|research agent
2511.06309,A,2025-11-09,cs.AI,0,autonomous scientific discovery
2511.06701,A,2025-11-10,cs.SE,0,AI scientist
2511.07327,A,2025-11-10,cs.AI,0,research agent
2511.08522,A,2025-11-11,cs.CL,0,autonomous research|research agent
2511.09325,A,2025-11-12,cs.AI,0,automated scientific discovery|automating scientific discovery
2511.11672,A,2025-11-11,cs.DC,0,agentic research
2511.11793,A,2025-11-14,cs.CL,0,research agent
2511.13825,A,2025-11-17,cs.AI,0,AI scientist
2511.14043,A,2025-11-18,cs.AI,0,autonomous scientific discovery
2511.14631,A,2025-11-18,cs.CL,1,autonomous scientific discovery
2511.15593,A,2025-11-19,cs.AI,0,research agent
2511.16931,A,2025-11-21,cs.CY,0,AI scientist
2511.16997,A,2025-11-21,cs.AI,0,AI scientist
2511.19399,A,2025-11-24,cs.CL,0,research agent
2511.21444,A,2025-11-26,cs.AI,0,automated scientific discovery|automating scientific discovery
2511.21990,A,2025-11-27,cs.LG,0,agentic research
2512.01089,A,2025-11-30,cs.AI,0,automated scientific discovery|automating scientific discovery
2512.01948,A,2025-12-01,cs.CL,0,research agent
2512.02038,A,2025-11-24,cs.CL,0,research agent
2512.02874,A,2025-12-02,cs.CL,0,research agent
2512.03887,A,2025-12-03,cs.AI,1,research agent
2512.05311,A,2025-12-04,cs.LG,0,research agent
2512.07849,A,2025-11-26,cs.CY,0,AI scientist
2512.14622,A,2025-12-16,cs.DB,0,autonomous research
2512.19753,A,2025-12-19,cond-mat.mtrl-sci,0,AI scientist
2512.20469,A,2025-12-23,cs.AI,0,AI scientist
2512.22336,A,2025-12-26,cs.AI,1,research agent
2512.24077,A,2025-12-30,cs.AI,0,autonomous scientific discovery
2601.01357,A,2026-01-04,cs.LG,0,autonomous research
2601.03261,A,2025-12-16,cs.CL,0,research agent
2601.03315,A,2026-01-06,cs.LG,1,AI scientist|autonomous scientific discovery
2601.04577,A,2026-01-08,cs.AI,0,research agent
2601.04879,A,2026-01-08,cs.CL,0,research agent
2601.06117,A,2026-01-03,cs.LG,0,research agent
2601.06676,A,2026-01-10,cs.CL,0,research agent
2601.06943,A,2026-01-11,cs.CV,0,research agent
2601.07504,A,2026-01-12,cs.LG,0,agentic research
2601.11354,A,2026-01-16,cs.AI,0,agentic research
2601.12030,A,2026-01-17,cs.AI,0,research agent
2601.12152,A,2026-01-17,cs.HC,0,agentic research
2601.12346,A,2026-01-18,cs.CV,0,research agent
2601.12369,A,2026-01-18,cs.CL,0,research agent
2601.12538,A,2026-01-18,cs.AI,0,autonomous research
2601.12910,A,2026-01-19,cs.CL,0,research agent
2601.13217,A,2026-01-19,cs.CL,0,research agent
2601.13508,A,2026-01-20,cond-mat.mtrl-sci,0,agentic research|autonomous research
2601.14224,A,2026-01-20,cs.IR,1,research agent
