publisher,concerns,stratum,class,route_kind,route_value,evidence_url,quote,http_status,evidence_grade,machine_blocked,verified_here,note
Elsevier,622,census,B,editor_no_address,,https://www.elsevier.com/about/policies-and-standards/article-withdrawal,contact the journal as soon as possible using the contact details listed on the journal's home page,200,verified_here,False,True,"This 'Article withdrawal' policy page only instructs authors who discover an error in their own published work to contact the journal via the contact details on the journal's home page (no address given on this page itself). No wording on this page, or on the companion 'Publishing ethics' page (https://www.elsevier.com/about/policies-and-standards/publishing-ethics), explicitly invites a reader/stranger to report a concern; the same generic per-journal contact channel would be the only route available to anyone, author or not. Elsevier's support center (elsevier.support/publishing/category/10643, 'Report a concern') was also checked but is oriented at authors/reviewers/editors managing their own submissions, not readers flagging published articles."
Springer,612,census,A,dedicated_email,ethics.reporting@springernature.com,https://www.springernature.com/gp/editors/research-integrity,please share your concerns with our team below by sending an email to ethics.reporting@springernature.com,200,verified_here,False,True,
SAGE Publications,467,census,A,dedicated_email,publication_ethics@sagepub.com,https://www.sagepub.com/complaints-and-appeals-procedure-msg,Anybody wishing to raise a concern or make a complaint about any aspect of being published in a Sage journal ... may email publication_ethics@sagepub.com,200,verified_here,False,True,
PLoS,216,census,A,dedicated_email,pub-ethics@plos.org,https://plos.org/research-integrity-and-ethics/,"If you have concerns about the integrity of a PLOS article, please email pub-ethics@plos.org",200,verified_here,False,True,
Taylor and Francis,152,census,A,dedicated_email,ethics@tandf.co.uk,https://authorservices.taylorandfrancis.com/publishing-your-research/after-publication/what-to-expect-when-raising-a-concern/,"Alternatively, you can contact the PEI team by emailing ethics@tandf.co.uk.",200 (curl with browser User-Agent); 403 for both curl default UA and a fetch tool,verified_here,True,True,
Oxford University Press,140,census,A,dedicated_email,journals.corrections@oup.com,https://academic.oup.com/pages/contact-us,Journal corrections: journals.corrections@oup.com Journal authors can contact this address for potential changes to published journal content,403,snippet_only,True,False,"Search-snippet evidence only, per protocol disclosure requirement -- direct/tool fetches of academic.oup.com are blocked. Corroborated by a second, independently indexed OUP page (academic.oup.com/ageing/pages/general_instructions): 'Corrections requests should be made to journals.corrections@oup.com.' The address is dedicated to corrections/changes to published content, which covers post-publication concerns; nothing on the indexed text restricts its use to authors only."
Portland Press,92,census,A,dedicated_email,editorial@portlandpress.com,https://portlandpress.com/pages/editorial_policy,Concerns from readers regarding any of our articles can be sent to our Research Integrity and Publishing Policy Manager.,403,snippet_only,True,False,"Page could not be rendered directly by either method, so the quote is taken from web-search snippets of this page's own text rather than a raw fetch. The editorial-office address editorial@portlandpress.com was likewise found only via search (of the site's separate contact page), not confirmed verbatim on the editorial_policy page itself."
Wiley,89,census,A,dedicated_form,https://www.wiley.com/en-us/network/publishing/research-publishing/research-integrity/contact-the-research-integrity-team,https://authors.wiley.com/ethics-guidelines/retractions-and-expressions-of-concern.html,Integrity and ethics concerns and questions about these policies can be submitted to Wiley's Research Integrity Team using this form,200,source_read,False,False,
Springer - Nature Publishing Group,76,census,A,dedicated_email,ethics.reporting@springernature.com,https://www.nature.com/nature-portfolio/editorial-policies/appealsandcomplaints,please contact the Springer Nature Research Integrity Group by email,200,source_read,False,False,
Royal Society of Chemistry (RSC),58,census,B,editor_no_address,,https://www.rsc.org/publishing/journals/processes-and-policies,suspect...should contact the journal editorial office [no address given]; separately a sitewide 'Make a complaint' form exists,"200 (curl with browser User-Agent, on 2 of 4 attempts); other attempts returned 503",source_read,False,False,"Exact verbatim sentence read on the page: ""Authors who wish to enquire about publication of a correction for their article, or who have serious concern that they believe may warrant retraction, should contact the journal editorial office."" No address or link is attached to ""journal editorial office"" on this page. A generic, sitewide ""Make a complaint"" form (forms.rsc.org, footer link, not article-specific) is also reachable in one click."
