days,share_still_under_concern
0,1.0
1,0.994227
2,0.993315
4,0.993011
5,0.992707
6,0.992404
7,0.9921
8,0.991796
9,0.991492
10,0.991188
12,0.990884
13,0.99058
14,0.989061
16,0.988757
18,0.988453
22,0.983894
23,0.98359
24,0.983286
25,0.982982
26,0.982374
27,0.981158
28,0.980855
30,0.980551
31,0.980247
32,0.979335
34,0.978727
35,0.977815
36,0.964745
37,0.95897
38,0.958362
39,0.958058
40,0.957754
41,0.95745
42,0.949851
43,0.949243
44,0.9459
45,0.941037
48,0.935262
49,0.93435
50,0.927967
51,0.923711
54,0.922799
55,0.915502
56,0.908509
57,0.905468
58,0.902732
60,0.902124
61,0.901212
62,0.895739
63,0.89361
64,0.882664
65,0.881752
66,0.88084
67,0.880232
68,0.879016
69,0.862901
70,0.861685
71,0.860773
72,0.857124
73,0.854083
74,0.853171
75,0.852563
76,0.848611
77,0.84557
78,0.843746
79,0.842529
81,0.841921
82,0.841009
83,0.840705
84,0.839489
85,0.838577
87,0.838273
88,0.837969
89,0.837665
90,0.836752
91,0.83432
92,0.833408
93,0.833104
94,0.8328
95,0.83128
96,0.830671
98,0.829759
99,0.829455
100,0.828543
101,0.827631
103,0.827327
105,0.826719
106,0.826415
107,0.825807
109,0.824894
110,0.82459
111,0.823374
112,0.822766
117,0.822462
118,0.821549
119,0.820941
120,0.820333
122,0.819116
123,0.818508
124,0.818204
125,0.817899
128,0.817595
130,0.817291
135,0.816987
136,0.816379
137,0.813337
138,0.813033
139,0.811816
140,0.810904
141,0.810295
142,0.809991
143,0.809383
144,0.808774
145,0.80847
146,0.807862
147,0.806645
148,0.805733
149,0.805429
150,0.805124
154,0.804516
155,0.804212
156,0.803604
157,0.802995
158,0.802691
159,0.800562
160,0.799954
161,0.799041
162,0.798129
165,0.797825
168,0.797216
171,0.796912
173,0.796
175,0.795391
176,0.794783
177,0.794479
179,0.794174
180,0.793566
181,0.791436
182,0.790827
183,0.789001
184,0.787174
186,0.786565
188,0.786261
189,0.785042
190,0.781993
191,0.781688
192,0.781079
193,0.77864
195,0.777115
196,0.775896
197,0.774981
199,0.774067
200,0.773762
202,0.772542
203,0.768882
205,0.768577
206,0.768272
207,0.767967
208,0.767662
209,0.767357
210,0.767052
212,0.766747
214,0.766137
215,0.764917
217,0.764612
218,0.763697
220,0.763087
221,0.762782
224,0.761867
230,0.760952
231,0.760647
233,0.760342
235,0.760037
237,0.755767
238,0.753937
240,0.753632
241,0.753327
243,0.753022
244,0.752717
245,0.751802
246,0.750887
247,0.750582
251,0.749972
252,0.749362
253,0.747532
254,0.746006
258,0.745396
259,0.742345
260,0.740208
261,0.739903
264,0.739597
265,0.738987
267,0.738377
271,0.738071
272,0.73746
273,0.735627
275,0.734099
277,0.733793
278,0.732571
279,0.732265
282,0.731959
284,0.731654
285,0.731042
286,0.730736
288,0.73043
289,0.729818
290,0.729512
291,0.7289
292,0.728594
293,0.727982
294,0.72737
295,0.727064
299,0.726758
302,0.726451
303,0.726145
304,0.725839
306,0.725226
307,0.722164
308,0.721245
310,0.720632
311,0.720325
313,0.720018
314,0.717565
315,0.717258
316,0.716031
317,0.715724
319,0.715417
320,0.715111
321,0.71419
322,0.713883
323,0.712961
324,0.712654
326,0.71204
327,0.711425
328,0.711118
330,0.71081
331,0.709579
334,0.708964
335,0.707425
336,0.706809
337,0.706501
338,0.706193
342,0.705885
343,0.704959
344,0.701871
345,0.701562
348,0.700634
350,0.700325
351,0.699706
356,0.699397
357,0.698777
359,0.698467
363,0.697847
364,0.697537
365,0.696916
367,0.696294
369,0.695672
373,0.69505
377,0.694115
378,0.693804
379,0.693181
381,0.692869
384,0.692558
385,0.690377
388,0.690065
392,0.68913
394,0.687572
399,0.68726
400,0.686948
403,0.686013
404,0.68539
406,0.685078
408,0.684455
409,0.683832
410,0.682584
412,0.682272
413,0.680712
415,0.6804
417,0.679464
421,0.677904
426,0.677592
427,0.676968
428,0.676656
430,0.675719
433,0.675407
434,0.674158
437,0.673845
438,0.673533
441,0.672596
443,0.671972
444,0.67166
445,0.671035
447,0.670411
449,0.670098
450,0.669786
452,0.669161
454,0.668849
456,0.668537
459,0.668225
460,0.667912
461,0.667288
462,0.666976
465,0.666663
480,0.666351
482,0.666039
484,0.664165
487,0.663853
488,0.663229
495,0.662916
498,0.662604
505,0.662292
511,0.661667
517,0.661041
519,0.660416
520,0.660104
523,0.659791
525,0.659479
528,0.659166
532,0.658854
537,0.658228
540,0.657916
545,0.657603
548,0.65729
549,0.656977
559,0.656664
560,0.656038
570,0.655725
576,0.655412
578,0.654158
580,0.653845
587,0.652904
589,0.65259
595,0.652276
607,0.651963
608,0.651649
613,0.651335
618,0.651021
623,0.650707
624,0.650392
625,0.650078
631,0.649135
634,0.648506
642,0.648191
644,0.647876
645,0.647562
647,0.647247
658,0.630256
660,0.629941
662,0.629626
665,0.629312
666,0.628997
667,0.628682
671,0.62648
673,0.626165
674,0.62585
682,0.624591
686,0.559739
687,0.559424
688,0.558794
695,0.558479
703,0.558163
710,0.556583
711,0.556267
716,0.555951
719,0.555635
729,0.555319
730,0.554687
738,0.55437
740,0.554054
745,0.553422
746,0.553105
752,0.552789
763,0.552473
764,0.552156
782,0.55184
783,0.551523
788,0.551206
790,0.55089
810,0.550573
814,0.550256
826,0.549939
843,0.549621
849,0.549293
858,0.548962
867,0.548284
876,0.547916
878,0.547548
880,0.54718
891,0.546811
894,0.546442
906,0.546073
916,0.545335
926,0.544965
930,0.544596
936,0.543487
939,0.543117
950,0.542747
952,0.542377
969,0.542006
993,0.525335
995,0.524964
1017,0.524593
1027,0.524222
1052,0.523104
1078,0.522357
1083,0.521984
1084,0.521237
1097,0.520863
1104,0.520488
1112,0.520114
1120,0.518986
1128,0.51861
1132,0.518235
1136,0.517859
1153,0.517483
1169,0.517106
1194,0.516729
1199,0.516352
1210,0.515974
1211,0.51484
1212,0.513706
1213,0.512194
1217,0.511437
1218,0.511059
1220,0.510681
1225,0.510302
1237,0.509923
1238,0.507272
1239,0.506893
1240,0.506514
1244,0.506134
1246,0.505754
1260,0.50537
1280,0.50498
1290,0.504586
1291,0.504193
1302,0.503797
1309,0.5034
1328,0.50298
1331,0.502558
1337,0.502136
1340,0.501712
1341,0.500866
1342,0.500442
1360,0.500005
1366,0.499563
1380,0.499117
1437,0.498658
1474,0.498188
1479,0.497717
1491,0.497241
1497,0.496763
1580,0.496267
1706,0.495709
1710,0.495063
1719,0.494416
1736,0.493765
1741,0.493112
1750,0.492457
1794,0.491747
1797,0.491036
1824,0.488152
1828,0.487428
2054,0.486479
2609,0.484601
2679,0.482512
3012,0.476286
4099,0.46041
5165,0.427524
