arxiv_id,version,version_date,injection_present,evidence_source
2506.01324,v1,2025-06-02,true,arxiv.org/html/2506.01324v1
2506.01324,v2,2025-06-18,false,arxiv.org/html/2506.01324v2
2506.01324,v3,2026-03-17,false,arxiv.org/html/2506.01324v3
2506.03074,v1,2025-06-03,true,arxiv.org/html/2506.03074v1
2506.03074,v2,2025-06-04,true,arxiv.org/html/2506.03074v2
2506.03074,v3,2025-06-18,false,arxiv.org/html/2506.03074v3
2506.03074,v4,2025-06-30,false,arxiv.org/html/2506.03074v4
2506.03074,v5,2026-04-10,false,arxiv.org/html/2506.03074v5
2505.15075,v1,2025-05-21,true,arxiv.org/html/2505.15075v1
2505.15075,v2,2025-07-03,false,arxiv.org/html/2505.15075v2
2505.15075,v3,2025-07-15,false,arxiv.org/html/2505.15075v3
2505.15075,v4,2025-07-26,false,arxiv.org/html/2505.15075v4
2505.15075,v5,2025-08-24,withdrawn,arxiv.org/abs/2505.15075v5
2502.19918,v1,2025-02-27,false,arxiv.org/html/2502.19918v1
2502.19918,v2,2025-05-22,true,arxiv.org/html/2502.19918v2
2502.19918,v3,2025-06-24,false,arxiv.org/html/2502.19918v3
2502.19918,v4,2025-08-08,false,arxiv.org/html/2502.19918v4
2502.19918,v5,2025-12-01,not-probed,not-probed
2502.19918,v6,2026-05-07,false,arxiv.org/html/2502.19918v6
2506.00418,v1,2025-05-31,true,arxiv.org/html/2506.00418v1
2506.00418,v2,2025-06-21,false,arxiv.org/html/2506.00418v2
